Country,Admit,Admit Coming,Total
Algeria,0,0,1
Australia,0,0,2
Austria,0,0,1
Bangladesh,18,7,34
Belarus,0,0,2
Belgium,0,0,1
Benin,0,0,1
Botswana,1,1,2
Brazil,2,0,3
Cameroon,0,0,1
Canada,0,0,7
China,24,1,64
Ethiopia,0,0,3
Germany,0,0,2
Ghana,23,18,100
Guinea,0,0,1
India,175,64,504
"Iran, Islamic Republic of",14,8,25
Israel,1,0,1
Italy,0,0,1
Jamaica,0,0,1
Japan,0,0,1
Jordan,0,0,2
Kazakhstan,0,0,1
Kenya,6,6,13
"Korea, Republic of",3,0,7
Kuwait,0,0,1
Lebanon,0,0,1
Lesotho,0,0,1
Liberia,0,0,1
Malawi,0,0,1
Mexico,0,0,2
Morocco,0,0,1
Mozambique,0,0,1
Nepal,2,1,10
Netherlands,2,1,4
Nigeria,22,10,121
Norway,0,0,2
Oman,1,0,1
Pakistan,8,5,43
Paraguay,6,4,7
Philippines,1,0,1
Rwanda,0,0,1
Saudi Arabia,1,0,6
Sierra Leone,1,1,3
Singapore,1,0,1
Somalia,1,1,1
South Africa,0,0,2
South Sudan,0,0,1
Spain,1,0,2
Sri Lanka,2,1,3
Turkey,2,0,10
United Arab Emirates,2,2,7
United Kingdom,2,1,18
United States of America,354,193,952
Uzbekistan,0,0,4
Zambia,0,0,2
Zimbabwe,1,0,6
Saint Kitts and Nevis,1,1,1
"Egypt, Arab Republic of",0,0,2
Syrian Arab Republic,0,0,1
Trinidad and Tobago,1,1,2
"Bahamas, The",0,0,1
"Gambia, The",0,0,3
